iter	Passed	Remaining
0	1	172
1	5	261
2	7	233
3	8	206
4	10	190
5	11	179
6	12	169
7	14	166
8	17	179
9	19	175
10	20	168
11	22	163
12	23	157
13	24	150
14	25	144
15	26	141
16	27	135
17	29	133
18	31	135
19	33	134
20	35	135
21	37	133
22	39	130
23	41	130
24	42	127
25	43	125
26	45	124
27	48	124
28	49	122
29	51	120
30	53	118
31	54	116
32	56	114
33	57	111
34	59	110
35	61	109
36	63	107
37	64	105
38	66	103
39	67	101
40	68	98
41	69	96
42	70	94
43	72	92
44	74	90
45	76	89
46	77	87
47	79	85
48	80	83
49	81	81
50	82	79
51	84	77
52	85	76
53	88	74
54	89	73
55	91	72
56	93	70
57	94	68
58	95	66
59	97	64
60	98	63
61	100	61
62	102	60
63	104	58
64	106	57
65	107	55
66	109	53
67	110	52
68	112	50
69	113	48
70	115	47
71	117	45
72	119	44
73	120	42
74	122	40
75	123	39
76	125	37
77	127	35
78	129	34
79	131	32
80	132	31
81	134	29
82	136	27
83	137	26
84	139	24
85	141	23
86	144	21
87	146	19
88	148	18
89	150	16
90	152	15
91	154	13
92	155	11
93	158	10
94	160	8
95	161	6
96	163	5
97	165	3
98	166	1
99	168	0
