iter	Passed	Remaining
0	139	139481
1	141	70673
2	143	47821
3	145	36159
4	146	29120
5	147	24429
6	148	21119
7	150	18660
8	151	16713
9	152	15146
10	155	13971
11	157	12941
12	158	12067
13	160	11288
14	161	10601
15	162	9997
16	163	9469
17	165	9007
18	166	8588
19	167	8206
20	169	7904
21	171	7622
22	173	7359
23	174	7092
24	175	6845
25	176	6627
26	178	6424
27	179	6234
28	180	6051
29	182	5892
30	184	5757
31	185	5621
32	187	5481
33	188	5346
34	189	5223
35	191	5121
36	192	5018
37	194	4918
38	196	4844
39	198	4765
40	200	4678
41	201	4597
42	203	4518
43	204	4438
44	205	4359
45	206	4281
46	207	4209
47	208	4140
48	210	4092
49	212	4038
50	214	3984
51	215	3925
52	216	3866
53	217	3811
54	218	3756
55	219	3704
56	220	3653
57	222	3609
58	223	3562
59	225	3535
60	227	3497
61	228	3456
62	229	3414
63	230	3373
64	231	3334
65	232	3296
66	234	3259
67	235	3222
68	236	3190
69	238	3163
70	240	3149
71	242	3119
72	243	3087
73	244	3057
74	244	3021
75	246	2991
76	247	2962
77	248	2933
78	249	2906
79	250	2879
80	251	2856
81	253	2842
82	255	2822
83	256	2798
84	257	2774
85	258	2751
86	260	2729
87	261	2707
88	262	2687
89	263	2667
90	265	2647
91	266	2632
92	268	2619
93	270	2605
94	271	2585
95	272	2565
96	273	2546
97	274	2527
98	276	2513
99	277	2496
100	278	2478
101	279	2461
102	281	2450
103	283	2438
104	284	2424
105	285	2406
106	286	2390
107	287	2376
108	289	2363
109	289	2346
110	291	2331
111	292	2316
112	293	2307
113	295	2300
114	297	2288
115	298	2276
116	300	2264
117	301	2250
118	302	2240
119	304	2230
120	304	2215
121	306	2204
122	307	2191
123	309	2186
124	310	2176
125	312	2168
126	313	2157
127	315	2147
128	316	2136
129	318	2128
130	319	2117
131	320	2105
132	321	2095
133	323	2090
134	324	2082
135	327	2078
136	328	2072
137	330	2067
138	332	2059
139	334	2053
140	337	2058
141	339	2050
142	340	2042
143	342	2034
144	343	2024
145	344	2014
146	345	2004
147	346	1995
148	347	1986
149	349	1978
150	350	1970
151	351	1963
152	353	1957
153	354	1949
154	355	1940
155	356	1929
156	357	1920
157	358	1912
158	360	1905
159	361	1897
160	362	1888
161	363	1881
162	365	1876
163	367	1872
164	368	1866
165	369	1858
166	371	1850
167	372	1843
168	373	1836
169	374	1829
170	375	1822
171	377	1815
172	378	1809
173	380	1805
174	381	1800
175	383	1794
176	384	1788
177	385	1781
178	386	1773
179	387	1767
180	389	1761
181	390	1755
182	391	1749
183	393	1743
184	394	1737
185	395	1731
186	397	1726
187	398	1722
188	399	1716
189	401	1710
190	402	1705
191	403	1700
192	405	1695
193	407	1691
194	408	1688
195	410	1684
196	412	1682
197	415	1682
198	417	1679
199	418	1675
200	421	1674
201	422	1670
202	424	1666
203	426	1663
204	428	1661
205	430	1659
206	432	1656
207	434	1653
208	436	1651
209	438	1648
210	440	1645
211	441	1640
212	442	1636
213	444	1632
214	446	1628
215	447	1625
216	449	1621
217	451	1618
218	452	1614
219	453	1609
220	455	1604
221	458	1605
222	460	1603
223	463	1605
224	466	1606
225	468	1604
226	471	1606
227	473	1602
228	474	1598
229	476	1596
230	478	1592
231	480	1589
232	481	1585
233	483	1581
234	484	1578
235	486	1574
236	488	1571
237	489	1567
238	491	1564
239	493	1561
240	494	1557
241	496	1554
242	497	1551
243	499	1548
244	501	1544
245	502	1541
246	504	1537
247	506	1534
248	507	1531
249	509	1528
250	510	1524
251	512	1521
252	514	1517
253	515	1513
254	517	1510
255	518	1507
256	520	1504
257	521	1500
258	523	1497
259	525	1494
260	526	1490
261	527	1487
262	529	1483
263	531	1480
264	532	1477
265	534	1474
266	536	1471
267	537	1468
268	539	1465
269	540	1462
270	542	1458
271	543	1455
272	545	1452
273	547	1451
274	549	1448
275	551	1445
